,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dregs-e6ff7022-783c-40a3-a533-2d097b2e8fbf,1,Dregs,Dregs,"Dregs

              —
              Dregs
            
              (Purely Physical Teeny Tapes)",Purely Physical Teeny Tapes,"Superb debut suite of dankest trip hop by Naarm collective Dregs, properly homing in/zoning out on a mix of hazed dub basslines, etheric vox, creeping guitars and crepuscular synths webbed with FX in a way right between the eyes of early Massive Attack, that a.s.o pearl from last year, classic HTRK,Tarquin Manek & YL Hooi, CS + Kreme, Hysterical Love Project.

Absolute manna for moody buggers, Dregs’ eponymous venture pushes off into familiar waters where they nevertheless leave... more",/products/dregs-e6ff7022-783c-40a3-a533-2d097b2e8fbf,https://assets.boomkat.com/spree/products/957354/product/dregs_cover_600_res.jpg,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
1,jameela-ep,2,DJ Persuasion,Jameela EP,"DJ Persuasion

              —
              Jameela EP
            
              (Ulterior Motives)",Ulterior Motives,"Feel the rush with DJ Persuasion’s lush hardcore rave odes, replete with OG pioneer Ant Miles aka Ram Records co-founder (and Origin Unknown, etc.) dropping a rare, restless Liftin’ Spirits remix 

DJ Persuasion is the notorious alias of Benji Roth, aka Semtek and a living embodiment of the hardcore ‘nuum with his judicious mixtapes and productions spanning the 30+ years of UK hardcore, from its bleeps, bass ’n breaks roots to jungle, tech-step D&B and all that historic steez. The ‘Jameela... more",/products/jameela-ep,https://assets.boomkat.com/spree/products/962490/product/jameela-front-2.jpg,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
2,subsonicghostchannelingintuitivlps,3,Abu Ama,Subsonic Ghost Channeling & Intuitiv LP's,"Abu Ama

            —
            Subsonic Ghost Channeling & Intuitiv LP's",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
3,scenery-from-double-glazing,4,G Version III,Scenery From Double Glazing,"G Version III

              —
              Scenery From Double Glazing
            
              (Digital Sting)",Digital Sting,"G Version III from Kyoto, Japan, with Scenery From Double Glazing on Digital Sting.

""G Version grew up with a love of Hip Hop, R&B, and Reggae and had a musical revelation at a Lake Biwako sound clash event as a teenager that was formative in spurring a deeper dive into Dancehall and soundsystem culture. After some time spent studying in the UK and returning to Japan, working at Jet Set records along with meeting heavy weight producer Element the beginnings of her future musical... more",/products/scenery-from-double-glazing,https://assets.boomkat.com/spree/products/928752/product/Untitled-sq.jpg,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
4,when-it-rains-6cb93dec-08b4-4e43-9a31-2a40026cbce6,5,Significant Other,When It Rains,"Significant Other

              —
              When It Rains
            
              (Pain Management)",Pain Management,"Significant Other firms up the first release on his own label - a 4-part EP of grubby beatdown laced with james K vox and flashes of bittersweet emotion.

Alum of YOUTH, and more recently Berceuse Heroique, Significant Other has gained a cult reputation to his slant on the skudgier, atmospheric ends of contemporary, mood-driven grooves that place him in a category along with the likes of Mobbs, Hajj and Dave Saved for his balance of ruff hewn rhythm and emotion.

Following a mixtape... more",/products/when-it-rains-6cb93dec-08b4-4e43-9a31-2a40026cbce6,https://assets.boomkat.com/spree/products/939275/product/8718723255332.jpg,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
5,notyourfaultep,6,Mystery Tiime,Not Your Fault EP,"Mystery Tiime

            —
            Not Your Fault EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
6,alaafia,7,Honour,Àlááfíà,"Honour

              —
              Àlááfíà
            
              (PAN)",PAN,"Finally available on vinyl, Honour's debut album proper for PAN is a darkly comic tour de force that's as eccentric and high-minded as a Mica Levi score and as hard-hitting as a Diplomats tape. Fractal jazz, sandblasted rap, brittle concrète soundscapes and ghosted, melancholy ambience - all of it vaporised into a charged sermon filled with hidden messages and spiritual weight. The most essential PAN in a minute? Aye.

Packed with wide-reaching references - from Kelly Rowland and... more",/products/alaafia,https://assets.boomkat.com/spree/products/916531/product/unnamed-2024-07-10T174422.981_1200x.jpg,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
7,blksplls2thealtarlps,8,Nkisi,BLK SPLLS 2 & The Altar LP's,"Nkisi

            —
            BLK SPLLS 2 & The Altar LP's",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
8,elevations-5c3acad4-8683-4930-a297-97d948f98a3f,9,Contours,Elevations,"Contours

              —
              Elevations
            
              (Music From Memory)",Music From Memory,"Lovely, jazz and contemporary classical-spirited 4th world ambient scaping from Cumbria-raised, Manchester-based Tom Burford’s Contours; initially a club project, now naturally transitioning into a whole other sphere with results surely indebted or comparable to Steve Reich, Richard Skelton, and Alice Coltrane.

A neat fit for Amsterdam’s revered Music From Memory label, ‘Elevations’ leads on from Contours’ 2020 ‘Balafon Sketches’ to bloom that album’s rhythmelodic ideas across an... more",/products/elevations-5c3acad4-8683-4930-a297-97d948f98a3f,https://assets.boomkat.com/spree/products/935733/product/MFM068.jpg,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
9,afro-indigenous-music-from-the-northwestern-andes,10,Various Artists,Juyungo: Afro-Indigenous Music From The Northwestern Andes,"Various Artists

              —
              Juyungo: Afro-Indigenous Music From The Northwestern Andes
            
              (Honest Jon's Records)",Honest Jon's Records,"Honest Jon’s head deep into the Afro-Indigenous cultures of Ecuador’s NW Andes region to reveal the spellbinding musical cultures derived from generations of integration between Chachi & Nigua people and the African Maroons who escaped Spanish slavers from the C.16th onwards - a distinct blend of rhythmelodic vernaculars and hybrid folklores, lushly open to the sounds of insects and bird noise. Gorgeous, entrancing stuff

The 5th in HJ’s intrepid guided tours of... more",/products/afro-indigenous-music-from-the-northwestern-andes,https://assets.boomkat.com/spree/products/962948/product/198846363035.jpg,2625,Jon K,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2625
