,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,endlessly-continuous,1,Cliché Toupee,Endlessly Continuous,"Cliché Toupee

              —
              Endlessly Continuous
            
              (SELN Recordings)",SELN Recordings,,/products/endlessly-continuous,https://assets.boomkat.com/spree/products/969724/product/5056467392252.jpg,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
1,countrywesterndjgonzversionwain,2,Ivan Robirosa,Country & Western (DJ Gonz Version) [Wain],"Ivan Robirosa

            —
            Country & Western (DJ Gonz Version) [Wain]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
2,hectic-922b8c6b-0233-44f2-a2ad-6eb87b96fa9a,3,Numerologist,Hectic,"Numerologist

              —
              Hectic
            
              (Mindseyerecords.xyz)",Mindseyerecords.xyz,,/products/hectic-922b8c6b-0233-44f2-a2ad-6eb87b96fa9a,https://assets.boomkat.com/spree/products/957282/product/5056467389405.jpg,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
3,xceili,4,Ceili,x [Ceili],"Ceili

            —
            x [Ceili]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
4,technorecordedlivevol1unknownartist777,5,unknown artist 777,techno recorded live vol. 1 [unknown artist 777],"unknown artist 777

            —
            techno recorded live vol. 1 [unknown artist 777]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
5,anotherreleaseglintmusic,6,Excel DJ,Another Release [Glint Music],"Excel DJ

            —
            Another Release [Glint Music]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
6,x2distoryionedjteste,7,DJ Test.e,x2Distoryione [DJ Test.e],"DJ Test.e

            —
            x2Distoryione [DJ Test.e]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
7,buckshotroulettedrbreinerr,8,Dr Breinerr,Buckshot Roulette [Dr Breinerr],"Dr Breinerr

            —
            Buckshot Roulette [Dr Breinerr]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
8,grifedomiiiana,9,Gamba,Grifedom III [ANA],"Gamba

            —
            Grifedom III [ANA]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
9,musik-041546ea-2ffc-4e62-a4a1-c8427fe52bec,10,PLASTIKMAN,"Musik 
            
              (Plus 8 Records / Novamute)","PLASTIKMAN

              —
              Musik (30th Anniversary Reissue)
            
              (Plus 8 Records / Novamute)",30th Anniversary Reissue,"Richie Hawtin’s landmark 2nd Plastikman album rides out on remastered 30th anniversary edition - a masterclass in tactile but steely cold acid techno, future-proofed by its sleek, even at times, sexy, minimalism.

‘Musik’ was first released in 1994 in the wake of Plastikman’s groundbreaking debut ‘Sheet One’, and would further chisel the sound of acid techno to a mix of ice-pick hardness and more fluid, trilling forms of machine music that crisply defined the difference between what had gone... more",/products/musik-041546ea-2ffc-4e62-a4a1-c8427fe52bec,https://assets.boomkat.com/spree/products/960953/product/Plastikman_Musik_30th_Anniversary.jpg,2732,Kiran Sande,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2732
