,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sala-mi-toto-7c572f03-8de5-4aac-9790-2133679d0934,1,Pembey Sheiro,Sala Mi Toto,"Pembey Sheiro

              —
              Sala Mi Toto
            
              (Strut)",Strut,,/products/sala-mi-toto-7c572f03-8de5-4aac-9790-2133679d0934,https://assets.boomkat.com/spree/products/939757/product/4062548092226_T2_Image.jpg,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
1,typhjamfrom9exit100ptfourvariousartists,2,Joe Seven,Typh Jam (from 9EXIT100 Pt. Four - Various Artists),"Joe Seven

            —
            Typh Jam (from 9EXIT100 Pt. Four - Various Artists)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
2,tantsuyushchiyostrovdancingislandfromsynthesizingthesilkroadsuzbekdiscotajikfolktronicauyghurrocktatarjazzfrom1980ssovietcentralasiavariousartists,3,Angelina Petrosova,"Tantsuyushchiy Ostrov (Dancing Island) (from Synthesizing the Silk Roads: Uzbek Disco, Tajik Folktronica, Uyghur Rock & Tatar Jazz from 1980s Soviet Central Asia - Various Artists)","Angelina Petrosova

            —
            Tantsuyushchiy Ostrov (Dancing Island) (from Synthesizing the Silk Roads: Uzbek Disco, Tajik Folktronica, Uyghur Rock & Tatar Jazz from 1980s Soviet Central Asia - Various Artists)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
3,wave-it-106e205b-1ca6-406a-9988-178db5f5fbc4,4,"DJ Travella, Rosa Pistola & Freebot",Wave It,"DJ Travella, Rosa Pistola & Freebot

              —
              Wave It
            
              (Hakuna Kulala)",Hakuna Kulala,,/products/wave-it-106e205b-1ca6-406a-9988-178db5f5fbc4,https://assets.boomkat.com/spree/products/948321/product/768558901902.jpg,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
4,phoneglowhyperdub,5,Burial,Phoneglow (Hyperdub),"Burial

            —
            Phoneglow (Hyperdub)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
5,nexus-sin,6,Safety Trance x DJ LOSER,NEXUS SIN,"Safety Trance x DJ LOSER

              —
              NEXUS SIN
            
              (Magdalena's Apathy)",Magdalena's Apathy,"Doomhall-dembow mazza from Arca-collaborator Safety Trance and Greek demon DJLoser, chasing the latter’s killer Brodinski collaboration on his label, Magdalena’s Apathy

‘Nexus Sin’ binds the pair’s mutable slants on reggaeton and hardcore techno in three bombastic rave blow outs built to slay. In the cauldron go inverted gabber kicks, icy doomcore riffs, and Latin street soundsystem stabs; out comes a trio of hair-raising cuts, throwing down the ultra-hardcore dembow dancehall of... more",/products/nexus-sin,https://assets.boomkat.com/spree/products/879687/product/MA029_Cover.jpg,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
6,ayiayiwecrazyfromizigqinamba,7,Phelimuncasi & Metal Preyers,Ayi ayi we Crazy (from Izigqinamba),"Phelimuncasi & Metal Preyers

            —
            Ayi ayi we Crazy (from Izigqinamba)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
7,unleash-b9aec143-6965-45dc-ab10-2187f47e1b84,8,Heavee,Unleash,"Heavee

              —
              Unleash
            
              (Hyperdub)",Hyperdub,"Chicago's Heavee follows up 2018's Teklife-released 'WFM' with a prismatic, genre-fluxed footwork-rooted odyssey that fantasises not about where the genre's already been, but where it might go next. Forward thinking, intricate and positive gear - as much Fractal Fantasy or even G Jones as it is RP Boo or DJ Rashad.

Listening to 'Unleash', it makes sense that Darryl Bunch Jnr, aka Heavee, started his career as a dancer. The album doesn't feel restricted to one formula or another, but the... more",/products/unleash-b9aec143-6965-45dc-ab10-2187f47e1b84,https://assets.boomkat.com/spree/products/919147/product/5056321681720_T15_Image.jpg,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
8,lookawaymildsnake,9,Ivy Lab,Look Away (Mild Snake),"Ivy Lab

            —
            Look Away (Mild Snake)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
9,danca-da-m-a-ju-77c7349e-3774-41c9-8e1c-b30a90d3a4aa,10,DJ ZNOBIA,Danca Da Mֶa Ju,"DJ ZNOBIA

              —
              Danca Da Mֶa Ju
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,,/products/danca-da-m-a-ju-77c7349e-3774-41c9-8e1c-b30a90d3a4aa,https://assets.boomkat.com/spree/products/951054/product/768558901506.jpg,2677,Kop Z,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2677
