,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ep,1,Babyxsosa,EP,"Babyxsosa

            —
            EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
1,77-live,2,Les Rallizes Denudes,'77 Live,"Les Rallizes Denudes

              —
              '77 Live
            
              (Temporal Drift)",Temporal Drift,"The first official reissue of Japanese band Les Rallizes Dénudés’ ‘77 Live, via Temporal Drift.

""Led by the enigmatic Takashi Mizutani, Les Rallizes Dénudés has gained an almost mythical status the world over with their delicate balancing act between transcendent psychedelia and pure sonic assault, maintaining its status as an underground phenomenon throughout their three decade existence and beyond. 

‘77 Live is an explosive live set from Tokyo that captures the glorious noise of the... more",/products/77-live,https://assets.boomkat.com/spree/products/840954/product/LesRallizesDenudes-_77Live_2x.jpg,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
2,black-metal-2,3,Dean Blunt,Black Metal 2,"Dean Blunt

              —
              Black Metal 2
            
              (Rough Trade)",Rough Trade,"One of those releases that makes you feel like no other music exists for a hot minute, Dean Blunt returns with a second Black Metal album for Rough Trade, delving deeper into his unfathomable yet completely approachable and direct take on visceral x melancholic folk-pop. Spoiler: It’s really fucking good.

Aided on most of the songs here by Joanne Robertson’s vocal counterpoint and Giles Kwakeulati King-Ashong’s skittering drums, these songs once again connect to AR Kane’s distinct... more",/products/black-metal-2,https://assets.boomkat.com/spree/products/744800/product/191402025354_T11_Image.jpg,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
3,goodluckbabe,4,Chappell Roan,"Good Luck, Babe!","Chappell Roan

            —
            Good Luck, Babe!",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
4,it-ll-end-in-tears-remastered-4fa82d84-c79c-4bf6-8d66-ffefb23c17ff,5,THIS MORTAL COIL,"It'll End In Tears 
            
              (4AD)","THIS MORTAL COIL

              —
              It'll End In Tears (Remastered)
            
              (4AD)",Remastered,"This Mortal Coil’s debut album It’ll End In Tears (1984) forged the template; helping to crystallise 4AD’s emerging signature sound whilst shining a light on some of their stable with Cocteau Twins, Colourbox, Dead Can Dance and The Wolfgang Press all involved. The line-up was completed by arranger Martin McCarrick, violinist Gini Ball, Howard Devoto of Buzzcocks / Magazine fame and Cindytalk’s Gordon Sharp. Pitchfork recently named it one of the best Dream Pop albums ever, a moment... more",/products/it-ll-end-in-tears-remastered-4fa82d84-c79c-4bf6-8d66-ffefb23c17ff,https://assets.boomkat.com/spree/products/682708/product/652637300468_T13_Image.jpg,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
5,danzigiiihowthegodskill,6,Danzig,Danzig III: How the Gods Kill,"Danzig

            —
            Danzig III: How the Gods Kill",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
6,you-never-end,7,Moin,You Never End,"Moin

              —
              You Never End
            
              (AD 93)",AD 93,"Moin are Valentina Magaletti with Tom Halstead and Joe Andrews (Raime), and their third album of finely tempered post-hardcore expands their remit (and no doubt their reach) by adding original vocals by Coby Sey, Olan Monk, james k, and Sophia Al-Maria for a patented knit of wiry guitars and trilling stickwork referencing touchstones by Shellac, Slint and Fugazi.

In key with the emergence of notable band-style ensembles from London such as Mica Levi’s Good Sad Happy Bad, bar italia, or Still... more",/products/you-never-end,https://assets.boomkat.com/spree/products/949767/product/4062548097023_T12_Image.jpg,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
7,for-those-of-you-who-have-never-and-also-those-who-have,8,HUERCO S.,"For Those Of You Who Have Never 
            
              (Proibito)","HUERCO S.

              —
              For Those Of You Who Have Never (And Also Those Who Have)
            
              (Proibito)",And Also Those Who Have,"What were the clouds like when Huerco S was young? The Kansas-raised, New York-based producer’s absorbing ambient album For Those of You Who Have Never (And Also Those Who Have) goes some way to answering The Orb’s fluffy little proposition…

Brian Leeds a.k.a. Huerco S’s 2nd album, following Colonial Patterns (2013) finds him working between the cracks and fissures of what we’ve previously heard from him, drawing out nine pieces of mineral ambient textures and non-percussive... more",/products/for-those-of-you-who-have-never-and-also-those-who-have,https://assets.boomkat.com/spree/products/355277/product/c2ae4352.jpg,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
8,wrong,9,Locust,Wrong,"Locust

            —
            Wrong",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
9,morsere,10,Paul Baghdadlian,Mor Sere,"Paul Baghdadlian

            —
            Mor Sere",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2735,Lara Sarkissian,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2735
