,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ae2022warp,1,Autechre,"AE_2022, Warp","Autechre

            —
            AE_2022, Warp",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
1,cage2erato,2,Bertrand Chamayou,"Cage2, Erato","Bertrand Chamayou

            —
            Cage2, Erato",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
2,spell-blanket-collected-demos-2006-2009,3,Broadcast,Spell Blanket - Collected Demos 2006 - 2009,"Broadcast

              —
              Spell Blanket - Collected Demos 2006 - 2009
            
              (Warp Records)",Warp Records,"A 36-track anthology of 4-track and minidisc recordings from Trish Keenan's archive, 'Spell Blanket' is as close as we're gonna get to Broadcast's mythical fifth album, and it's a labyrinthine heart-melter. Not just a selection of demos like 'Distant Call', this one's a fuzzy image of what the finished album might have been, with psychedelic synth experiments, organ jams, hymnals and tape-mangled poems interrupting Keenan and James Cargill's unmistakable reverb-drenched arrangements. We... more",/products/spell-blanket-collected-demos-2006-2009,https://assets.boomkat.com/spree/products/932410/product/5056614796087_T37_Image.jpg,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
3,antologia-1-obras-para-la-orquesta-experimental-de-instrumentos-nativos,4,Cergio Prudencio,Antología 1: Obras para la Orquesta Experimental de Instrumentos Nativos,"Cergio Prudencio

              —
              Antología 1: Obras para la Orquesta Experimental de Instrumentos Nativos
            
              (Buh Records)",Buh Records,"Just the most incredible archival record we’ve heard this year - 90 minutes of completely elevated works, 1985-2015, from Bolivia’s Cergio Prudencio and his compositions for traditional instruments from the Andean highlands, like some lost Mica Levi-arranged suite of orchestrations, all bent flutes x quiet-loud dynamics...

What might an orchestra sound like if it were made up of completely different instruments, like the siku, a traditional Andean two-row panpipe, the tarka, a... more",/products/antologia-1-obras-para-la-orquesta-experimental-de-instrumentos-nativos,https://assets.boomkat.com/spree/products/924295/product/Cergio-Prudencio_2024_distro_preview.jpg,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
4,inventor-vol-2,5,DJ ZNOBIA,Inventor VOL 2,"DJ ZNOBIA

              —
              Inventor VOL 2
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Angolan kuduro and tarraxhina pioneer DJ Znobia is back under the spotlight for a keenly awaited follow-up to Nyege Nyege Tapes first survey, returning to the late ‘90s/early ‘00s Luandan coalface of what would become a global club phenomena.

Praised by all funky c*nts who encountered it, DJ Znobia’s ‘Inventor Vol.1’ hailed the Fruity Loop-ed roots of kuduro, meaning “hard ass” in Portuguese, in the musseke (shantytown) of Barrio Do Rangel in Angola’s capital city. ‘Vol.2’ now returns to... more",/products/inventor-vol-2,https://assets.boomkat.com/spree/products/942280/product/768558901490.jpg,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
5,espontaneamente-se-tenta-aventuras-sonoras-de-djalma-correa,6,Djalma Corrêa,Espontaneamente se Tenta: Aventuras Sonoras de Djalma Correa,"Djalma Corrêa

              —
              Espontaneamente se Tenta: Aventuras Sonoras de Djalma Correa
            
              (Lugar Alto)",Lugar Alto,"After DJ Ramon Successo’s vinyl debut knocked heads clean off, Brazil’s Lugar Alto survey the wild variegation of Djalma Corrêa - player for Caetano Veloso, Gilberto Gil, Jorge Ben (1942-2022) - and his lesser known experiments with drums and future cha-cha, touching on avant garde collage, kosmiche synths, and astral exotica. What a label!

“Espontaneamente se Tenta: Aventuras Sonoras de Djalma Corrêa is an album of deeply exploratory pieces by legendary percussionist and composer... more",/products/espontaneamente-se-tenta-aventuras-sonoras-de-djalma-correa,https://assets.boomkat.com/spree/products/933949/product/51db136f-8779-c783-0ead-34434289e35e.jpg,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
6,souvenirs-f1a3d764-4a5e-49cd-9dd5-33f13b0155c6,7,Emahoy Tsege Mariam Gebru,Souvenirs,"Emahoy Tsege Mariam Gebru

              —
              Souvenirs
            
              (Mississippi Records)",Mississippi Records,"Real heart-stopping, life-affirming, almost indescribably beautiful posthumous album featuring (for the first time) vocal works by beloved, dearly departed, Ethiopian nun and now-legendary pianist/composer Emahoy Tsege Mariam Gebru, room recorded straight to tape between 1977-1985, sounds of life just about audible in the background. Almost had an out of body experience listening to it the other night - just a perfect, 10/10 album.

’Souvenirs’ is an intimate self-portrait written... more",/products/souvenirs-f1a3d764-4a5e-49cd-9dd5-33f13b0155c6,https://assets.boomkat.com/spree/products/913220/product/617308065916.jpg,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
7,we-have-dozens-of-titles,8,GASTR DEL SOL,We Have Dozens of Titles,"GASTR DEL SOL

              —
              We Have Dozens of Titles
            
              (Drag City)",Drag City,"David Grubbs & Jim O'Rourke’s long-dormant Gastr Del Sol returns with a first “new” release in 25 years, an epic 3LP/2CD box set collecting previously unreleased recordings and rarities influenced by Derek Bailey’s free improv as much as hallowed jazz staples and musique concrète, like some irresistible force ploughing through the increasingly approachable, you might even say polite, output of their post rock contemporaries back in the late 90’s. Perhaps unsurprisingly, it sounds better... more",/products/we-have-dozens-of-titles,https://assets.boomkat.com/spree/products/928945/product/781484083627.jpg,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
8,the-way-out-of-easy,9,"Jeff Parker and ETA IVtet featuring Anna Butterss, Jay Bellerose and Josh Johnson",The Way Out of Easy,"Jeff Parker and ETA IVtet featuring Anna Butterss, Jay Bellerose and Josh Johnson

              —
              The Way Out of Easy
            
              (International Anthem)",International Anthem,"Recorded at LA's recently shuttered ETA, 'The Way Out of Easy' is a celebration of iconic guitarist Jeff Parker's seven year residency alongside Anna Butterss, Jay Bellerose and Josh Johnson, touching on the weekly sessions' transcendent, groove-fwd hybridity with canny nods to post-rock, kosmische, hip-hop and dub.

For decades at this point, Parker has been restlessly innovating both as a soloist and a keen collaborator, working with formative post-rock outfits like Isotope 217... more",/products/the-way-out-of-easy,https://assets.boomkat.com/spree/products/969177/product/789993995028_T5_Image.jpg,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
9,steamroom62thechordsarealreadymadeforyouhttpssteamroombandcampcomalbumsteamroom62,10,Jim O'Rourke,"Steamroom 62: The Chords Are Already Made For You, https://steamroom.bandcamp.com/album/steamroom-62","Jim O'Rourke

            —
            Steamroom 62: The Chords Are Already Made For You, https://steamroom.bandcamp.com/album/steamroom-62",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2694,Lugar Alto,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2694
