,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,youllhavetolosesomething,1,SPIRIT OF THE BEEHIVE,YOU'LL HAVE TO LOSE SOMETHING,"SPIRIT OF THE BEEHIVE

            —
            YOU'LL HAVE TO LOSE SOMETHING",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
1,princ-ss,2,Princ€ss,Princ€ss,"Princ€ss

              —
               Princ€ss
            
              (wherethetimegoes)",wherethetimegoes,"Bit of a special one this; described as an avant-pop supergroup involving “serious legends”, Princ€ss land a strong debut album of modified shoegaze x ambient chamber musick slotted somewhere between Hysterical Love Project, Kevin Shields, A.R. Kane and Astrid Sonne, and tipped if yr on the spectrum between any of those trip/dream-pop integers.

OK what’s the craic here, then? As far as we can tell, Princ€ss are somehow related to shadowy label wherethetimegoes and wish to... more",/products/princ-ss,https://assets.boomkat.com/spree/products/927710/product/Cover.jpg,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
2,the-crystal-hum-2cf43ffd-4346-4de3-8bc3-1e3b313de391,3,Yuching Huang,The Crystal Hum,"Yuching Huang

              —
              The Crystal Hum
            
              (Night School)",Night School,"Beautifully eerie balladry and pop déjà entendu by Taiwan’s Yu Ching, in an uncannily familiar yet detached style of songwriting reminiscent of a Lynch dream sequence scored by Les Rallizes Denudes, overseen by Alex Zhang Hungtai, Cindy Lee and The Space Lady  

“The Crystal Hum is the debut vinyl release by Taiwan-based artist Yuching Huang and her first release for Night School. A beguiling dreamscape of crackles, spluttering, love-struck Casios presided over by the the spectral vocal... more",/products/the-crystal-hum-2cf43ffd-4346-4de3-8bc3-1e3b313de391,https://assets.boomkat.com/spree/products/933238/product/657628445128.jpg,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
3,eleventh-hour-7a84a71c-29b4-4249-b842-0d64dbb9691b,4,wist,Eleventh Hour,"wist

              —
              Eleventh Hour
            
              (STROOM)",STROOM,"évia and tibslc join forces on the diaristic 'Eleventh Hour', welding emotionally-charged guitar jams, homespun piano improvisations and haunted, processed chorals to ferric environmental recordings and sunny new age synth twinkles. RIYL claire rousay, Ulla, Tenniscoats or The Humble Bee.

A collection of weightless sketches written while évia and tibslc were temporarily sharing an apartment in Berlin, 'Eleventh Hour' is a reflection of Autumn's dewy atmosphere and subtle light. The tracks... more",/products/eleventh-hour-7a84a71c-29b4-4249-b842-0d64dbb9691b,https://assets.boomkat.com/spree/products/940824/product/STRDIG086LP.jpg,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
4,aserpentcalledemit,5,Museum Of No Art,A Serpent Called Emit,"Museum Of No Art

            —
            A Serpent Called Emit",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
5,springequinox,6,Everything Is Recorded,Spring Equinox,"Everything Is Recorded

            —
            Spring Equinox",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
6,igotheaven,7,Mannequin Pussy,I Got Heaven,"Mannequin Pussy

            —
            I Got Heaven",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
7,perseids,8,somesurprises,Perseids,"somesurprises

            —
            Perseids",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
8,atlas-of-green,9,DIALECT,Atlas of Green,"DIALECT

              —
              Atlas of Green
            
              (RVNG Intl.)",RVNG Intl.,"Merseyside cellist/composer Dialect’s 2nd LP with RVNG Intl. brims over with bucolic promise and anachronistic nuance derived from the same Wirral stomping grounds of ancient landscapes that prompted great work from Forest Swords and Annie Hogan.

Marking nearly a decade since he registered the ohrwurms of debut LP ‘Gowanus Drift’, as inspired by his time spent in Brooklyn, Andrew PM Hunt’s Dialect has incrementally refined his blend of chamber music, livewire improv and textured... more",/products/atlas-of-green,https://assets.boomkat.com/spree/products/938946/product/747742386602.jpg,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
9,looktotheeastlooktothewest,10,Camera Obscura,"Look to the East, Look to the West","Camera Obscura

            —
            Look to the East, Look to the West",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2663,Man Rei,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2663
