,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,nierozpoznanawie,1,Radical Polish Ansambl,nierozpoznana wieś,"Radical Polish Ansambl

            —
            nierozpoznana wieś",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
1,airs-bcebc84d-cf6e-4c39-b924-19453255ba9d,2,Mel Keane,Airs,"Mel Keane

              —
              Airs
            
              (wherethetimegoes)",wherethetimegoes,"Following up an acclaimed amphibious debut 'Frog Of Earth', Mel Keane fills an empty world with 'Airs', fermenting fragments of folk, sacred music and birdsong into pungent electro-acoustic daydreams. RIYL Atte Elias Kantonen or Oval.

Like its predecessor, 'Airs' is a demonstration of Dublin-based Keane's virtuosic sound design skills, but it's not showy. While 'Frog Of Earth' attempted to unravel the outside world from the perspective of an amphibian, 'Airs' imagines an open, untouched... more",/products/airs-bcebc84d-cf6e-4c39-b924-19453255ba9d,https://assets.boomkat.com/spree/products/966736/product/WTTG013_Front.jpg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
2,atlas-of-green,3,DIALECT,Atlas of Green,"DIALECT

              —
              Atlas of Green
            
              (RVNG Intl.)",RVNG Intl.,"Merseyside cellist/composer Dialect’s 2nd LP with RVNG Intl. brims over with bucolic promise and anachronistic nuance derived from the same Wirral stomping grounds of ancient landscapes that prompted great work from Forest Swords and Annie Hogan.

Marking nearly a decade since he registered the ohrwurms of debut LP ‘Gowanus Drift’, as inspired by his time spent in Brooklyn, Andrew PM Hunt’s Dialect has incrementally refined his blend of chamber music, livewire improv and textured... more",/products/atlas-of-green,https://assets.boomkat.com/spree/products/938946/product/747742386602.jpg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
3,phantasyreality,4,Lynn Avery & Cole Pulice,Phantasy & Reality,"Lynn Avery & Cole Pulice

            —
            Phantasy & Reality",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
4,patio-user-manual,5,Etelin,Patio User Manual,"Etelin

              —
              Patio User Manual
            
              (Beacon Sound)",Beacon Sound,"Third album from Etelin on Beacon Sound.

""As Etelin, Alex Cobb explores the intricacies of separation and belonging using field recordings and electronics, reconfiguring the dividing line between what is artificial and natural in the process. Maintaining a sense of playful reverence and lurking melancholy in its glitchy pastoralism, Patio User Manual hums with a meticulous and singular energy. From the loops and static pulses of ""The Chemistry of Cobalt"" to the tension and release of ""Electrical... more",/products/patio-user-manual,https://assets.boomkat.com/spree/products/944367/product/400_square-4.jpeg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
5,enough-for-me-to-remain,6,"DANIAILYAS, Dania, Ilyas Ahmed",Enough for Me to Remain,"DANIAILYAS, Dania, Ilyas Ahmed

              —
              Enough for Me to Remain
            
              (Geographic North)",Geographic North,,/products/enough-for-me-to-remain,https://assets.boomkat.com/spree/products/953935/product/198704132865.jpg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
6,sing-nightingale,7,Michaela Antalová & Adrian Myhr,Sing Nightingale,"Michaela Antalová & Adrian Myhr

              —
              Sing Nightingale
            
              (Mappa Editions)",Mappa Editions,,/products/sing-nightingale,https://assets.boomkat.com/spree/products/966616/product/880918269429.jpg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
7,perfect-conditions,8,Celia Hollander,Perfect Conditions,"Celia Hollander

              —
              Perfect Conditions
            
              (Celia Hollander)",Celia Hollander,"Inspired by the elemental combinations that provoke natural phenomena like volcanic eruptions or evaporation, Celia Hollander's latest maps weightless, vapor-pop structures to the outer reality, stretching her voice around around pulsating rhythms, processed field recordings and FM exotica.

Following a grip of impressive releases for Los Angeles' Leaving imprint, Hollander takes things into her own hands here, using various themes to represent each different elemental pairing. So on... more",/products/perfect-conditions,https://assets.boomkat.com/spree/products/953484/product/0840200588171.jpg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
8,the-piri-piri-samplers,9,Or Sobre Blau,Piri Piri Samplers + O Terço dos homens,"Or Sobre Blau

              —
              Piri Piri Samplers + O Terço dos homens
            
              (Memorials of Distinction / STROOM)",Memorials of Distinction / STROOM,"Gorgeous half-cut strums and lonesome blooooz broadcast over a cranky shortwave radio signal, a delicate spell pitched at anyone into Neil Young’s ‘Dead Man’ OST, or if u get all tingly imagining yourself listening to Loren Mazzacane Connors somewhere wild and barren in the dead of night...

Catalonian guitarist Andreu G. Serra (aka Ubaldo) and British guitarist Kiran Leonard formed Or Sobre Blau (a Catalan translation of the Portuguese idiom 'ouro sobre azul', or blue over gold) in 2017 when... more",/products/the-piri-piri-samplers,https://assets.boomkat.com/spree/products/577266/product/5055869536141_T14_Image.jpg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
9,there-will-come-gentle-rain,10,Hmot,There Will Come Gentle Rain,"Hmot

              —
              There Will Come Gentle Rain
            
              (Warm Winters Ltd.)",Warm Winters Ltd.,"Teaming up with Rupert Clervaux, Adela Mede, Eldar Tagi and Tuvan vocalist Sainkho Namtchylak, Stas Shärifullá (aka HMOT) digs into his academic research on collective memory and sonic traditions on his latest Warm Winters plate, deconstructing folk legends and cultural dissonance in the process.

It's fitting that the first sound we hear on 'There Will Come Gentle Rain' is an acoustic twang, that roots the album in folk traditions before it veers off into the unknown. The most... more",/products/there-will-come-gentle-rain,https://assets.boomkat.com/spree/products/954482/product/5050580833296.jpg,2693,Mondoj,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2693
