,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,jah-children-invasion-vol-6-digital-dawn,1,Various Artists,Jah Children Invasion Vol. 6: Digital Dawn,"Various Artists

              —
              Jah Children Invasion Vol. 6: Digital Dawn
            
              (Wackies)",Wackies,"Wackies sift ‘80s/‘90s digital bullets from Horace Andy, Jackie Mittoo, Chosen Brothers, Milton Henry and more, including no less than 3 exclusive, previously unreleased cuts.

6th in the Jah Children Invasion series is a straight up winner. It draws for that phase shift in reggae from drums + vocals to a formulation of keyboards, drum machines and singers, stemming from Prince Jammy’s ground zero ‘Sleng Teng’ rhythm that can be heard to parallel the ‘80s shift to synth-pop, laying the... more",/products/jah-children-invasion-vol-6-digital-dawn,https://assets.boomkat.com/spree/products/924677/product/f087e132-aa04-9c4b-ddb6-7348db6bd8a0.png,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
1,otrc2,2,Scott Grooves,O.T.R.C. 2,"Scott Grooves

            —
            O.T.R.C. 2",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
2,the-process-afee499d-2f50-4733-9ab5-c01cf0f4d5c5,3,Gerald Cleaver,The Process,"Gerald Cleaver

              —
              The Process
            
              (577 Records)",577 Records,"Singular definitions of Detroit jazz techno by storied drummer Gerald Cleaver, kinda doing for that sound what label mate Pat Thomas did with UK jungle, on two durational, prism bending excursions reminding of Jeff Mills electro-jazz works, Urban Tribe or Theo Parrish’s downbeat ruggedness, and the orbiting sounds of records by Ann Arbor’s Laurel Halo

Since the ‘90s Gerald Cleaver has been as a key part of Detroit’s incredibly rich musical palimpsest that maps Motor City soul, the... more",/products/the-process-afee499d-2f50-4733-9ab5-c01cf0f4d5c5,https://assets.boomkat.com/spree/products/957654/product/a0785123070_10.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
3,59358ed3-6e1d-4710-a48c-7a4d153b59f3,4,Actress,Даррен Дж. Каннінгем,"Actress

              —
              Даррен Дж. Каннінгем
            
              (Smalltown Supersound)",Smalltown Supersound,"Actress marks an auspicious 20th year releasing music with a vinyl edition of his RA mix; a near hour-long collage or braque of some 100 unreleased cuts trawling his HD and traversing its depths of brisk 313 techno, silver haze synth noise and flashes of neo-classical beauty.

Trailing ’Statik’ back in spring ’24, 'Дарен Дж. Каннінгем' is practically on par with the album for levels of engrossing and gritty noirish atmospheres, scattering a breadcrumb trail of puckered keys and teasing rave signals... more",/products/59358ed3-6e1d-4710-a48c-7a4d153b59f3,https://assets.boomkat.com/spree/products/957341/product/a2733212600_10.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
4,richaxxhaitian,5,Mach-Hommy,#RICHAXXHAITIAN,"Mach-Hommy

            —
            #RICHAXXHAITIAN",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
5,the-tumbling-psychic-joy-of-now,6,Holy Tongue meets Shackleton,The Tumbling Psychic Joy of Now,"Holy Tongue meets Shackleton

              —
              The Tumbling Psychic Joy of Now
            
              (AD 93)",AD 93,"Holy Tongue's humid, ritualistic dubs are blotted into Rorschach shapes by Shackleton on this kaleidoscopic collaboration- one for fans of Creation Rebel's hypnotic 'Starship Africa' or Don Cherry's head-mangling 'Eternal Rhythm'.

Moments after releasing the ace 'Jinxed by Being' with US wyrd folk journeyman Six Organs of Admittance, Shackleton is back with another labyrinthine full-length, this time breaking bread with Valentina Magaletti, Al Wootton and Susumu Mukai, aka Holy... more",/products/the-tumbling-psychic-joy-of-now,https://assets.boomkat.com/spree/products/932178/product/4062548088083_T7_Image.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
6,gas-bdf31db7-af60-4495-aa2a-3812f4f9bdc5,7,GAS,GAS-,"GAS

              —
              GAS-
            
              (Kompakt)",Kompakt,"First time reissue of Wolfgang Voigt's foundational first GAS album since its release in 1996 - it remains the archetype for so much contemporary ambient music and back-room techno, melting camouflaged German cultural references into a timeless, anthemic pulse. This new reissue is the original extended vinyl version, with definitive longer versions of the six classic tracks. Available in deluxe 3LP and single CD editions.

By the mid-'90s, techno had become the language of German... more",/products/gas-bdf31db7-af60-4495-aa2a-3812f4f9bdc5,https://assets.boomkat.com/spree/products/944007/product/4250101471698.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
7,skin-breaker,8,HOWARD THOMAS,Skin Breaker,"HOWARD THOMAS

              —
              Skin Breaker
            
              (Sound Signature)",Sound Signature,"On his extraordinary debut 2LP for longtime pal Theo Parrish’s Sound Signature, cult Motor City mechanic Howard Thomas - aka H-Fusion - hails twin interests in sci-fi flicks and ‘80s beat trax, encoded in seven uniquely toned grooves. A massive RIYL Actress, Terrence Dixon, Drexciya, Jamal Moss, Noleian Reusse.

Five years since Howard’s cult classic album as H-Fusion for The Death of Rave rewired heads with its haul of ‘Captured Entities’ ranging from crankiest atonal techno to reckless... more",/products/skin-breaker,https://assets.boomkat.com/spree/products/946639/product/e5692d06-7ed7-6b1a-a7ac-9012d7785977-1.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
8,beware-dub-an-expanded-version-of-the-classic-album,9,YABBY YOU,Beware Dub,"YABBY YOU

              —
              Beware Dub
            
              (Pressure Sounds)",Pressure Sounds,"Freshly expanded reissue of Yabby You & The Prophets’ Beware Dub (1978) evergreen, featuring a who’s who of roots reggae and masterful hands on the mixing desk including King Tubby and Prince Jammy, all produced by Vivian Jackson a.k.a. Yabby You.

 

            more",/products/beware-dub-an-expanded-version-of-the-classic-album,https://assets.boomkat.com/spree/products/385338/product/0797776408689_T29863056880054.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
9,you-just-give-in-giving-it-all-to-the-wind-e1643c07-5a8f-4159-bd5a-318ce576e705,10,fka boursin,"You Just Give In, Giving it All to the Wind","fka boursin

              —
              You Just Give In, Giving it All to the Wind
            
              (Accidental Meetings)",Accidental Meetings,"Bristol's fka boursin goes deep; draping classic NYC/Chicago house moods with the kind of blunted haze you'd expect from one of Mark Ernestus and Moritz von Oswald's legendary Main Street 12""s. One for fans of DJ Sprinkles, Luomo, Frank & Tony or Kassem Mosse, for sure.

Presented without compression to ""counter the over saturation of three minute, brick-walled, max-energy production trends in contemporary dance music"", fka boursin's latest is a deep house purist's wet dream... more",/products/you-just-give-in-giving-it-all-to-the-wind-e1643c07-5a8f-4159-bd5a-318ce576e705,https://assets.boomkat.com/spree/products/943493/product/8718723261265.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
10,fearitself,11,Casual,Fear Itself,"Casual

            —
            Fear Itself",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
11,happy-endings-47d99d67-05cd-476a-b169-9cd86b619453,12,Lord Tusk,Happy Endings,"Lord Tusk

              —
              Happy Endings
            
              (Mida)",Mida,"London bassbin mutant Lord Tusk turns out two trippy steppers on Estonia’s MIDA 

In step with the label’s ruggedly lo-fi aesthetics, as formed thru releases by Tapes, Ruutu Poiss, Ajukaja & ATS and Ratkiller, your man Tusk goes neon greazy with the well oiled bassline and gasps of ‘Happy Endings’, stealthily tweaked right up to the vinegar strokes, whilst ‘Dwight’ pursues a sort of groggy cosmic industrial acid shunt like Hype Williams meets Melvin Oliphant III.

            more",/products/happy-endings-47d99d67-05cd-476a-b169-9cd86b619453,https://assets.boomkat.com/spree/products/932253/product/b9b1b57c-bf43-c909-ed32-d8804af16ce7.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
12,lost-paradise-blissed-out-breakbeat-hardcore-1991-94,13,Various Artists,Lost Paradise: Blissed Out  Breakbeat Hardcore 1991-94,"Various Artists

              —
              Lost Paradise: Blissed Out  Breakbeat Hardcore 1991-94
            
              (BLANK MIND)",BLANK MIND,"Blank Mind herald the dark/light, ruff/sweet dualities of early UK breakbeat hardcore and techno with a killer haul of tunes from Skanna, Escape, Sleepwalker, The Invisible Man, DJ Mayhem and more

After previously hinting at their fascination in this arena with a 2022 reissue of Earth Leakage Trip’s ‘Psychotronic’  - the first Moving Shadow 12”, issued in 1991 - Sam Purcell’s label go all-in with eight properly licensed cuts of prime rave gear characterised by rushy fluxes of euphoria and... more",/products/lost-paradise-blissed-out-breakbeat-hardcore-1991-94,https://assets.boomkat.com/spree/products/924345/product/8718723249249.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
13,br-o-df-o-da,14,Civilistjävel!,Br​ö​df​ö​da,"Civilistjävel!

              —
              Br​ö​df​ö​da
            
              (FELT)",FELT,"Civilistjävel! returns with a beautiful new double album of aqueous home listening skewed by faint vocal whirls and atmospheric dub vapours, featuring collaborations with Laila Sakini, Mayssa Jallad, Thommy Wahlström, ELDON, and Withdrawn.

‘Brödföda’ invites an audience with the esteemed Swede and his peculiar brand of atmospheric isolationism. After gently weaving in the voice of Cucina Povera on the ‘Fyra Platser’ 12”, and reimagining the kosmische dream-pop of Death &... more",/products/br-o-df-o-da,https://assets.boomkat.com/spree/products/948308/product/8718723264297.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
14,dip-friso,15,Dip Friso,Dip Friso,"Dip Friso

              —
              Dip Friso
            
              (Real Landscape)",Real Landscape,"Chthonic Glasgow figurehead Murray Collier (Grim Lusk) wears his charmingly shabby Dip Friso bonnet for a 5th release of textured downbeats including a superb Tirzah-esque turn with Still House Plants’ Jess HK amid more heathered mind-drift blooz and Wanda Group-like crankiness

Ushered under an eponymous title, ‘Dip Friso’ can be heard as the project’s definitive salvo after a couple of lowkey tapes and 2022’s excellent ‘Crocodile or Real?’, all via his Real Landscape label. The... more",/products/dip-friso,https://assets.boomkat.com/spree/products/924395/product/e9c94051-10a6-1d9c-94e1-2b578945aacf.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
15,dds070,16,Demdike Stare x Dolo Percussion,DOLO DS,"Demdike Stare x Dolo Percussion

              —
              DOLO DS
            
              (DDS)",DDS,"The DDS 12” series follows that blink-n-miss Shinichi Atobe opener with this full curveball from Demdike Stare, finding the UK x US brukbeat axis twisting wildstyle thru the deadly first shots of a Demdike x Dolo Percussion hookup that’s been years in the making, set to dominate dancefloors for the foreseeable.

Since 2019 Demdike Stare had been playing edits of Dolo Percussion’s bare-boned breaks in their DJ sets, eventually sharing them with Dolo’s Andrew Field-Pickering (Beautiful Swimmers... more",/products/dds070,https://assets.boomkat.com/spree/products/931544/product/DDS070_distribution-preview.jpg,2659,Richard Chater,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2659
