,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,fayewebster,1,,Faye Webster,Faye Webster,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
1,dena,2,,Dena,Dena,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
2,devhynes,3,,Dev Hynes,Dev Hynes,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
3,charlottedaywilson,4,,Charlotte Day Wilson,Charlotte Day Wilson,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
4,stretcharmstrong,5,,Stretch Armstrong,Stretch Armstrong,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
5,littlesimz,6,,Little Simz,Little Simz,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
6,nitemovesoftycho,7,,Nitemoves of Tycho,Nitemoves of Tycho,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
7,ashlynbehrndt,8,,Ashlyn Behrndt,Ashlyn Behrndt,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
8,stephenmalkmus,9,,Stephen Malkmus,Stephen Malkmus,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
9,kaimountkimbie,10,,Kai (Mount Kimbie),Kai (Mount Kimbie),,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
10,lorainejames,11,,Loraine James,Loraine James,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
11,asiandan,12,,Asian Dan,Asian Dan,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
12,martybootyspoon,13,,Marty Bootyspoon,Marty Bootyspoon,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2730,Thomas Lennon,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2730
