,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,007regslowed,1,Yungwebster,007 [reg+slowed],"Yungwebster

            —
            007 [reg+slowed]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
1,ruins-be10d8fc-f0c5-4f50-854d-6ec2fe5f5812,2,990x,Ruins,"990x

              —
              Ruins
            
              (sferic)",sferic,"Sferic’s urbane ambient apothecary dispense the vinyl debut of instrumental cloudrap convections by cult producer 990x, drifting on smudged air somewhere between Yungwebster, dj lostboi, early Lil B and Space Afrika, via Clams Casino's 'Instrumentals' tapes, Kelman Duran and the Drain Gang axis - primed for gouched-out, floating immersion.

990x has been blurring the line between rap and ambient for almost a decade, breaking up his subby, saturated 808 kicks and itchy percussive trills... more",/products/ruins-be10d8fc-f0c5-4f50-854d-6ec2fe5f5812,https://assets.boomkat.com/spree/products/961705/product/sferic16_Cover.jpg,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
2,queridao,3,DJ Anderson do Paraiso,Queridão,"DJ Anderson do Paraiso

              —
              Queridão
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Trust when we say that Anderson do Paraiso has made one of the deadliest albums we’ve heard this year (pick a year, any will do), a genius session of no-drums Grimey madness from Belo Horizonte that’s emblematic of Brazil’s fiercely innovative new wave of producers, making it our number 2 album of the year, 2023.

The most unsettlingly brilliant music we've heard yet from Brazil, Anderson do Paraiso's 'Queridão' strips favela funk down to its barest bones, interspersing raps and... more",/products/queridao,https://assets.boomkat.com/spree/products/918259/product/768558901414.jpg,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
3,justtired2,4,Joeyy,Just Tired 2,"Joeyy

            —
            Just Tired 2",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
4,homesick,5,Kissen,Homesick,"Kissen

            —
            Homesick",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
5,enmixed,6,Jake Muir,enmixed,"Jake Muir

              —
              enmixed
            
              (enmossed)",enmossed,"Jake Muir flexes his selector's skills on 'enmixed', pulling nebulous gems from the enmossed label catalogue from the likes of Florian T M Zeisig, Exael, Felisha Ledesma and many others into a hallucinatory 80-minute perambulation full of his own treatments and processes. RIYL DJ Olive, Jan Jelinek, Purelink, earliest Huume-era Vladislav Delay.

An accomplished DJ as well as a sound designer and field recordist, Berlin-based LA transplant Muir has been quietly dreaming up surging... more",/products/enmixed,https://assets.boomkat.com/spree/products/944679/product/cover.jpg,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
6,jazz-plates,7,Ulla & Perila,Jazz Plates,"Ulla & Perila

              —
              Jazz Plates
            
              (Paralaxe Editions)",Paralaxe Editions,"After many years drifting in and out of each-other’s orbit, ‘Jazz Plates’ finds Ulla and Perila making music in the same room for the first time, exhaling a double album’s worth of gorgeously evocative mood music, gently crackling with a dream-textured haze for the ages. It's remarkably intimate material, linking the duo's own hypnagogic portrait of jazz, in all its hushed permutations.

‘Jazz Plates’ catches the mutual spirits measuredly channelling their shared love of Alice Coltrane and Pharoah... more",/products/jazz-plates,https://assets.boomkat.com/spree/products/952315/product/PXE19_Cover.jpg,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
7,pattern-damage-0ec11918-bdea-4e0d-8cae-72c0f7830cac,8,Bianca Scout,Pattern Damage,"Bianca Scout

              —
              Pattern Damage
            
              (sferic)",sferic,"Muzzing the membranes between chamber music, contemporary dance, dark pop and ethereal ambience, Klein, Mica Levi and Space Afrika collaborator Bianca Scout distills a decade of multidisciplinary work at the service of her maziest, most enchanted album, moving between diaristic ephemera, demure post-punk and chamber ambient, and cracking open bewildering crypto-romantique wormholes in the process. 

A triple threat dancer/musician/performer, Bianca Scout has been a... more",/products/pattern-damage-0ec11918-bdea-4e0d-8cae-72c0f7830cac,https://assets.boomkat.com/spree/products/925904/product/SFERIC12_Distribtuion_Preview.jpg,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
8,a-soft-and-gatherable-star,9,Jabu,A Soft and Gatherable Star,"Jabu

              —
              A Soft and Gatherable Star
            
              (do you have peace?)",do you have peace?,"Jabu take a big leap skyward on a gorgeous new album of hazed dreampop and burnished bass inspired by classic Cocteau Twins via A.R. Kane - essential listening for fans of HTRK, Rat Heart Ensemble, YL Hooi.

Launching with a dampened crash and slo-mo thuds, 'Oceanside Spider House' is the ideal re-introduction to the Bristol trio of Amos Childs, Alex Rendall and Jasmine Butt, who built a cult following for their blown-out, hypnagogic dub diffractions on 2017's 'Sleep Heavy' for Blackest... more",/products/a-soft-and-gatherable-star,https://assets.boomkat.com/spree/products/960165/product/Distribution_Template_Jabu.jpg,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
9,mossed-capable-of-being-observant,10,Angel R (Florian T M Zeisig),Mossed Capable Of Being Observant,"Angel R (Florian T M Zeisig)

              —
              Mossed Capable Of Being Observant
            
              (enmossed)",enmossed,"Infamous cloakroom attendant/Ambient enigma and occasional Kelela producer Florian T M Zeisig unveils his debut album proper as Angel R, draping fragmented rhythmic helixes around hazed, polychromatic soundscapes. It’s properly sensual, vaporous gear, tipped if yr into Jake Muir, Huerco S, Peak Oil, 3XL.

Following on from an excellent split LP with Alliyah Enyo, Florian T M Zeisig’s debut album proper as Angel R fully maps out his sonic topography. Gauzy, weightless soundscapes blur... more",/products/mossed-capable-of-being-observant,https://assets.boomkat.com/spree/products/965213/product/cover.jpg,2608,Will Boyd / Sferic,2024,https://boomkat.com/charts/boomkat-end-of-year-charts-2024/2608
